CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
00.359.742/0001-08;2025-12-31;5;152108;FICTOR ALIMENTOS S.A.;Liderança;0;8;0;0;0;0;0
00.359.742/0001-08;2025-12-31;5;152108;FICTOR ALIMENTOS S.A.;Não-liderança;0;2;0;0;0;0;0
00.383.281/0001-09;2025-12-31;2;149602;BNDES PARTICIPACOES S.A. - BNDESPAR;Liderança;0;34;1;4;0;0;2
00.383.281/0001-09;2025-12-31;2;149602;BNDES PARTICIPACOES S.A. - BNDESPAR;Não-liderança;0;58;4;10;0;0;2
00.644.907/0001-93;2025-12-31;2;149694;INVESTCO S.A.;Liderança;0;5;0;0;0;0;0
00.644.907/0001-93;2025-12-31;2;149694;INVESTCO S.A.;Não-liderança;1;38;5;20;0;0;0
00.743.065/0001-27;2025-12-31;2;149354;LITEL PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
00.743.065/0001-27;2025-12-31;2;149354;LITEL PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
00.776.574/0001-56;2025-12-31;4;152114;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;95;2362;652;4497;12;0;16
00.776.574/0001-56;2025-12-31;4;152114;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;321;6704;3077;16645;54;0;50
00.864.214/0001-06;2025-12-31;4;152219;ENERGISA S.A.;Liderança;7;757;40;417;0;0;13
00.864.214/0001-06;2025-12-31;4;152219;ENERGISA S.A.;Não-liderança;201;6142;1558;8197;48;0;71
00.924.429/0001-75;2025-12-31;5;151867;FERROVIA CENTRO-ATLANTICA S.A.;Liderança;6;116;15;72;0;0;0
00.924.429/0001-75;2025-12-31;5;151867;FERROVIA CENTRO-ATLANTICA S.A.;Não-liderança;67;1751;595;2064;34;0;0
00.938.574/0001-05;2025-12-31;1;148325;CONC RIO-TERESOPOLIS S.A.;Liderança;0;1;0;2;0;0;0
00.938.574/0001-05;2025-12-31;1;148325;CONC RIO-TERESOPOLIS S.A.;Não-liderança;0;10;0;4;0;0;0
01.027.058/0001-91;2025-12-31;1;148798;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Liderança;19;590;34;142;0;0;0
01.027.058/0001-91;2025-12-31;1;148798;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Não-liderança;123;3584;451;1722;0;0;0
01.083.200/0001-18;2025-12-31;7;152016;NEOENERGIA S.A.;Liderança;23;806;54;301;1;0;4
01.083.200/0001-18;2025-12-31;7;152016;NEOENERGIA S.A.;Não-liderança;165;5087;1919;6793;42;0;333
01.104.937/0001-70;2025-12-31;1;148387;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Liderança;0;0;0;0;0;0;0
01.104.937/0001-70;2025-12-31;1;148387;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Não-liderança;0;0;0;0;0;0;0
01.417.222/0001-77;2025-12-31;5;150906;MRS LOGISTICA S.A.;Liderança;2;331;11;57;0;0;0
01.417.222/0001-77;2025-12-31;5;150906;MRS LOGISTICA S.A.;Não-liderança;34;3583;946;2181;5;0;4
01.543.032/0001-04;2025-12-31;3;152355;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Liderança;0;0;0;0;0;0;0
01.543.032/0001-04;2025-12-31;3;152355;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Não-liderança;0;0;0;0;0;0;0
01.545.826/0001-07;2025-12-31;13;152194;GAFISA S.A.;Liderança;0;78;2;18;0;0;0
01.545.826/0001-07;2025-12-31;13;152194;GAFISA S.A.;Não-liderança;3;115;12;78;0;0;0
01.548.981/0001-79;2025-12-31;1;148273;INVESTIMENTOS BEMGE S.A.;Liderança;0;0;0;0;0;0;0
01.548.981/0001-79;2025-12-31;1;148273;INVESTIMENTOS BEMGE S.A.;Não-liderança;0;0;0;0;0;0;0
01.599.101/0001-93;2025-12-31;4;152360;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Liderança;0;148;21;104;0;0;6
01.599.101/0001-93;2025-12-31;4;152360;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Não-liderança;9;686;231;877;2;0;8
01.616.929/0001-02;2025-12-31;3;151691;SANEAMENTO DE GOIAS SA;Liderança;2;1638;13;282;0;0;0
01.616.929/0001-02;2025-12-31;3;151691;SANEAMENTO DE GOIAS SA;Não-liderança;8;2797;41;558;0;0;0
01.637.895/0001-32;2025-12-31;3;149459;VOTORANTIM CIMENTOS S.A.;Liderança;26;599;49;272;0;3;0
01.637.895/0001-32;2025-12-31;3;149459;VOTORANTIM CIMENTOS S.A.;Não-liderança;141;4180;816;3041;23;53;0
01.838.723/0001-27;2025-12-31;9;152100;BRF S.A.;Liderança;43;1912;144;754;8;358;0
01.838.723/0001-27;2025-12-31;9;152100;BRF S.A.;Não-liderança;1275;37920;10424;39044;871;6686;0
01.851.771/0001-55;2025-12-31;2;149719;524 PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
01.851.771/0001-55;2025-12-31;2;149719;524 PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
01.896.779/0001-38;2025-12-31;2;149628;CSU DIGITAL S.A.;Liderança;0;0;0;0;0;0;396
01.896.779/0001-38;2025-12-31;2;149628;CSU DIGITAL S.A.;Não-liderança;0;0;0;0;0;0;4140
01.917.818/0001-36;2025-12-31;1;148636;LIGHT ENERGIA S.A.;Liderança;0;4;0;0;0;0;2
01.917.818/0001-36;2025-12-31;1;148636;LIGHT ENERGIA S.A.;Não-liderança;2;102;19;52;0;0;15
01.938.783/0001-11;2025-12-31;3;151490;CIA PARTICIPACOES ALIANCA DA BAHIA;Liderança;0;3;1;3;0;0;0
01.938.783/0001-11;2025-12-31;3;151490;CIA PARTICIPACOES ALIANCA DA BAHIA;Não-liderança;0;6;5;19;0;0;0
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;Liderança;0;2;0;0;0;0;0
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;Não-liderança;0;2;0;0;0;0;0
01.989.044/0001-59;2025-12-31;1;148300;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Liderança;0;0;0;0;0;0;0
01.989.044/0001-59;2025-12-31;1;148300;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Não-liderança;0;0;0;0;0;0;0
02.016.440/0001-62;2025-12-31;2;151998;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Liderança;0;135;2;22;1;0;0
02.016.440/0001-62;2025-12-31;2;151998;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Não-liderança;16;2857;221;759;12;0;27
02.062.747/0001-08;2025-12-31;2;149722;SUDESTE S.A.;Liderança;0;0;0;0;0;0;0
02.062.747/0001-08;2025-12-31;2;149722;SUDESTE S.A.;Não-liderança;0;0;0;0;0;0;0
02.149.205/0001-69;2025-12-31;2;151589;PORTO SEGURO S.A.;Liderança;37;1026;66;225;2;0;0
02.149.205/0001-69;2025-12-31;2;151589;PORTO SEGURO S.A.;Não-liderança;173;7135;1210;3644;27;0;2
02.193.750/0001-52;2025-12-31;3;151846;DEXXOS PARTICIPAÇÕES S.A.;Liderança;1;70;2;18;0;0;0
02.193.750/0001-52;2025-12-31;3;151846;DEXXOS PARTICIPAÇÕES S.A.;Não-liderança;1;369;82;244;4;0;20
02.217.319/0001-07;2025-12-31;1;149066;YBYRÁ CAPITAL S.A.;Liderança;0;5;0;0;0;0;0
02.217.319/0001-07;2025-12-31;1;149066;YBYRÁ CAPITAL S.A.;Não-liderança;0;1;0;0;0;0;0
02.255.187/0001-08;2025-12-31;2;152226;UNIFIQUE TELECOMUNICAÇÕES S.A.;Liderança;5;188;9;27;0;1;94
02.255.187/0001-08;2025-12-31;2;152226;UNIFIQUE TELECOMUNICAÇÕES S.A.;Não-liderança;13;736;50;179;2;3;1450
02.258.422/0001-97;2025-12-31;1;148315;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Liderança;0;0;0;0;0;0;0
02.258.422/0001-97;2025-12-31;1;148315;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Não-liderança;0;0;0;0;0;0;0
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Liderança;0;0;0;0;0;0;0
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Não-liderança;0;0;0;0;0;0;0
02.302.101/0001-42;2025-12-31;8;152281;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Liderança;0;32;2;6;0;0;0
02.302.101/0001-42;2025-12-31;8;152281;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Não-liderança;1;148;13;57;1;0;0
02.328.280/0001-97;2025-12-31;7;152175;ELEKTRO REDES S.A.;Liderança;7;243;6;36;0;0;0
02.328.280/0001-97;2025-12-31;7;152175;ELEKTRO REDES S.A.;Não-liderança;36;2337;230;1005;3;0;13
02.338.534/0001-58;2025-12-31;3;152396;LONGDIS S.A.;Liderança;0;0;0;0;0;0;0
02.338.534/0001-58;2025-12-31;3;152396;LONGDIS S.A.;Não-liderança;0;0;0;0;0;0;0
02.351.144/0001-18;2025-12-31;4;151887;TEGMA GESTAO LOGISTICA S.A.;Liderança;4;88;8;36;0;2;1
02.351.144/0001-18;2025-12-31;4;151887;TEGMA GESTAO LOGISTICA S.A.;Não-liderança;30;907;242;726;17;2;9
02.351.877/0001-52;2025-12-31;9;152270;LWSA S/A;Liderança;11;436;19;80;0;0;0
02.351.877/0001-52;2025-12-31;9;152270;LWSA S/A;Não-liderança;42;2092;229;687;10;0;0
02.357.251/0001-53;2025-12-31;4;151856;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Liderança;0;35;2;0;0;0;0
02.357.251/0001-53;2025-12-31;4;151856;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Não-liderança;3;282;81;56;0;0;0
02.365.069/0001-44;2025-12-31;5;152047;PADTEC HOLDING S.A.;Liderança;0;0;0;0;0;0;0
02.365.069/0001-44;2025-12-31;5;152047;PADTEC HOLDING S.A.;Não-liderança;0;0;0;0;0;0;0
02.382.073/0001-10;2025-12-31;1;149096;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;Liderança;0;0;0;0;0;0;0
02.382.073/0001-10;2025-12-31;1;149096;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;Não-liderança;0;0;0;0;0;0;0
02.387.241/0001-60;2025-12-31;3;152113;RUMO S.A.;Liderança;4;436;20;109;0;0;26
02.387.241/0001-60;2025-12-31;3;152113;RUMO S.A.;Não-liderança;57;4187;604;2244;36;0;270
02.397.080/0001-96;2025-12-31;1;147646;ITAPEBI GERACAO DE ENERGIA S.A.;Liderança;1;33;3;4;0;0;1
02.397.080/0001-96;2025-12-31;1;147646;ITAPEBI GERACAO DE ENERGIA S.A.;Não-liderança;2;37;7;17;0;0;1
02.421.421/0001-11;2025-12-31;3;152103;TIM S.A.;Liderança;8;658;36;153;0;0;0
02.421.421/0001-11;2025-12-31;3;152103;TIM S.A.;Não-liderança;101;4704;951;2882;15;0;28
02.429.144/0001-93;2025-12-31;3;151540;CPFL ENERGIA S.A.;Liderança;27;740;28;148;3;0;7
02.429.144/0001-93;2025-12-31;3;151540;CPFL ENERGIA S.A.;Não-liderança;190;9424;1237;4238;41;0;160
02.474.103/0001-19;2025-12-31;6;151628;ENGIE BRASIL ENERGIA S.A.;Liderança;2;215;10;26;0;0;0
02.474.103/0001-19;2025-12-31;6;151628;ENGIE BRASIL ENERGIA S.A.;Não-liderança;8;692;39;200;1;0;0
02.536.066/0001-26;2025-12-31;2;152301;VITAL ENGENHARIA AMBIENTAL S.A.;Liderança;1;183;43;183;0;0;2
02.536.066/0001-26;2025-12-31;2;152301;VITAL ENGENHARIA AMBIENTAL S.A.;Não-liderança;62;2384;2232;6051;38;0;83
02.558.157/0001-62;2025-12-31;5;150583;TELEFÔNICA BRASIL S.A;Liderança;122;2724;332;1151;14;32;0
02.558.157/0001-62;2025-12-31;5;150583;TELEFÔNICA BRASIL S.A;Não-liderança;668;14848;3525;9294;79;310;0
02.591.787/0001-39;2025-12-31;1;145992;CAPITALPART PARTICIPACOES S.A.;Liderança;0;1;0;0;0;0;0
02.591.787/0001-39;2025-12-31;1;145992;CAPITALPART PARTICIPACOES S.A.;Não-liderança;0;2;0;0;0;0;0
02.635.522/0001-95;2025-03-31;9;151571;JALLES MACHADO S.A.;Liderança;25;186;49;249;2;1;4
02.635.522/0001-95;2025-03-31;9;151571;JALLES MACHADO S.A.;Não-liderança;219;1303;697;2848;69;34;219
02.664.042/0001-52;2025-12-31;4;152350;TERMINAL GARAGEM MENEZES CORTES S.A.;Liderança;0;5;0;1;0;0;0
02.664.042/0001-52;2025-12-31;4;152350;TERMINAL GARAGEM MENEZES CORTES S.A.;Não-liderança;0;11;6;24;0;0;0
02.762.121/0001-04;2025-12-31;7;152342;SANTOS BRASIL PARTICIPACOES S.A.;Liderança;1;142;11;68;0;0;0
02.762.121/0001-04;2025-12-31;7;152342;SANTOS BRASIL PARTICIPACOES S.A.;Não-liderança;32;1491;360;1579;19;0;0
02.762.124/0001-30;2025-12-31;2;149720;BETAPART PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
02.762.124/0001-30;2025-12-31;2;149720;BETAPART PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
02.796.775/0001-40;2025-12-31;2;149721;GAMA PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
02.796.775/0001-40;2025-12-31;2;149721;GAMA PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
02.800.026/0001-40;2025-12-31;5;152467;COGNA EDUCAÇÃO S.A.;Liderança;30;1110;113;403;1;0;11
02.800.026/0001-40;2025-12-31;5;152467;COGNA EDUCAÇÃO S.A.;Não-liderança;407;12221;1884;7007;35;21;940
02.846.056/0001-97;2025-12-31;9;152458;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;Liderança;40;1149;303;481;2;15;19
02.846.056/0001-97;2025-12-31;9;152458;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;Não-liderança;166;7027;2612;4588;38;121;607
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;Liderança;0;14;1;1;0;0;0
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;Não-liderança;2;33;5;10;0;0;0
02.916.265/0001-60;2025-12-31;4;149705;JBS S.A.;Liderança;333;7257;826;1773;43;1536;2837
02.916.265/0001-60;2025-12-31;4;149705;JBS S.A.;Não-liderança;5705;81967;33410;68323;3031;32443;41095
02.932.074/0001-91;2025-12-31;4;151678;HYPERA S.A.;Liderança;22;778;31;415;0;3;0
02.932.074/0001-91;2025-12-31;4;151678;HYPERA S.A.;Não-liderança;218;4088;668;4179;22;57;0
02.950.811/0001-89;2025-12-31;10;152459;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Liderança;0;22;2;7;0;0;0
02.950.811/0001-89;2025-12-31;10;152459;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Não-liderança;2;46;7;24;0;0;0
02.992.449/0001-09;2025-12-31;2;149723;PROMPT PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
02.992.449/0001-09;2025-12-31;2;149723;PROMPT PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
02.998.301/0001-81;2025-12-31;2;151558;RIO PARANAPANEMA ENERGIA S.A.;Liderança;2;20;0;2;0;0;0
02.998.301/0001-81;2025-12-31;2;151558;RIO PARANAPANEMA ENERGIA S.A.;Não-liderança;3;162;10;50;1;0;0
02.998.611/0001-04;2025-12-31;6;152147;ISA ENERGIA BRASIL;Liderança;5;114;2;13;0;0;2
02.998.611/0001-04;2025-12-31;6;152147;ISA ENERGIA BRASIL;Não-liderança;23;1014;91;356;3;0;13
03.014.553/0001-91;2025-12-31;3;150113;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Liderança;0;7;1;0;0;0;1
03.014.553/0001-91;2025-12-31;3;150113;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Não-liderança;1;3;2;4;0;1;19
03.025.305/0001-46;2025-12-31;3;150596;RODOVIAS DAS COLINAS S.A.;Liderança;0;0;0;0;0;0;0
03.025.305/0001-46;2025-12-31;3;150596;RODOVIAS DAS COLINAS S.A.;Não-liderança;0;0;0;0;0;0;0
03.220.438/0001-73;2025-12-31;11;152292;EQUATORIAL S.A.;Liderança;10;495;80;514;1;0;40
03.220.438/0001-73;2025-12-31;11;152292;EQUATORIAL S.A.;Não-liderança;160;2963;1027;6305;49;0;221
03.303.999/0001-36;2025-12-31;2;152067;DTCOM - DIRECT TO COMPANY S.A.;Liderança;0;5;0;0;0;0;0
03.303.999/0001-36;2025-12-31;2;152067;DTCOM - DIRECT TO COMPANY S.A.;Não-liderança;0;11;1;0;0;0;4
03.342.704/0001-30;2025-12-31;5;152336;PETRORECÔNCAVO S.A.;Liderança;3;100;16;107;0;3;0
03.342.704/0001-30;2025-12-31;5;152336;PETRORECÔNCAVO S.A.;Não-liderança;26;366;278;856;4;33;0
03.378.521/0001-75;2025-12-31;3;149862;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;9;140;12;47;1;0;3
03.378.521/0001-75;2025-12-31;3;149862;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;70;1560;823;1994;19;0;88
03.467.321/0001-99;2025-12-31;4;152036;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Liderança;0;69;6;64;0;0;1
03.467.321/0001-99;2025-12-31;4;152036;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Não-liderança;28;726;408;1874;11;2;6
03.758.318/0001-24;2025-12-31;5;152437;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Liderança;0;78;4;40;0;0;26
03.758.318/0001-24;2025-12-31;5;152437;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Não-liderança;14;472;144;440;3;0;194
03.795.050/0001-09;2025-12-31;1;147523;TERMOPERNAMBUCO S.A.;Liderança;1;6;0;4;1;0;0
03.795.050/0001-09;2025-12-31;1;147523;TERMOPERNAMBUCO S.A.;Não-liderança;1;22;7;23;0;0;2
03.802.115/0001-98;2025-12-31;2;149302;CLEAR SALE S.A.;Liderança;6;206;15;40;0;0;15
03.802.115/0001-98;2025-12-31;2;149302;CLEAR SALE S.A.;Não-liderança;23;813;142;449;6;0;22
03.847.461/0001-92;2025-12-31;3;151746;BRADESPAR S.A.;Liderança;0;1;0;0;0;0;0
03.847.461/0001-92;2025-12-31;3;151746;BRADESPAR S.A.;Não-liderança;0;1;0;1;0;0;0
03.853.896/0001-40;2025-12-31;6;152441;MARFRIG GLOBAL FOODS S.A.;Liderança;23;956;71;742;1;0;368
03.853.896/0001-40;2025-12-31;6;152441;MARFRIG GLOBAL FOODS S.A.;Não-liderança;481;4708;1734;11392;78;17;5533
03.953.509/0001-47;2025-12-31;2;152188;CPFL GERACAO DE ENERGIA S.A.;Liderança;1;5;0;0;0;0;1
03.953.509/0001-47;2025-12-31;2;152188;CPFL GERACAO DE ENERGIA S.A.;Não-liderança;2;9;0;0;0;0;0
03.983.431/0001-03;2025-12-31;3;149468;EDP - ENERGIAS DO BRASIL S.A.;Liderança;0;0;0;0;0;0;0
03.983.431/0001-03;2025-12-31;3;149468;EDP - ENERGIAS DO BRASIL S.A.;Não-liderança;0;0;0;0;0;0;0
04.030.182/0001-02;2025-12-31;1;148671;CABINDA PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
04.030.182/0001-02;2025-12-31;1;148671;CABINDA PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
04.031.213/0001-31;2025-12-31;1;148673;CACONDE PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
04.031.213/0001-31;2025-12-31;1;148673;CACONDE PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
04.032.433/0001-80;2025-12-31;1;148932;CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;4;219;98;412;1;0;10
04.032.433/0001-80;2025-12-31;1;148932;CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;166;2497;2791;6634;31;0;88
04.038.763/0001-82;2025-12-31;1;148716;CAIANDA PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
04.038.763/0001-82;2025-12-31;1;148716;CAIANDA PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
04.065.053/0001-41;2025-12-31;2;151545;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Liderança;1;82;7;50;0;8;0
04.065.053/0001-41;2025-12-31;2;151545;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Não-liderança;8;371;92;374;4;82;0
04.069.709/0001-02;2025-12-31;3;150951;BIONEXO S.A.;Liderança;0;54;3;9;0;0;0
04.069.709/0001-02;2025-12-31;3;150951;BIONEXO S.A.;Não-liderança;5;250;47;97;1;0;0
04.089.570/0001-50;2025-12-31;1;149062;ÁGUAS GUARIROBA S.A;Liderança;0;0;0;0;0;0;0
04.089.570/0001-50;2025-12-31;1;149062;ÁGUAS GUARIROBA S.A;Não-liderança;0;0;0;0;0;0;0
04.149.454/0001-80;2025-12-31;1;148440;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Liderança;0;283;113;0;0;16;0
04.149.454/0001-80;2025-12-31;1;148440;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Não-liderança;0;2387;2489;0;0;169;0
04.172.213/0001-51;2025-12-31;2;151999;CIA PIRATININGA DE FORCA E LUZ;Liderança;6;89;2;11;0;0;0
04.172.213/0001-51;2025-12-31;2;151999;CIA PIRATININGA DE FORCA E LUZ;Não-liderança;26;794;102;455;4;0;11
04.212.396/0001-91;2025-12-31;1;148880;VOKE S.A.;Liderança;2;148;18;45;0;0;0
04.212.396/0001-91;2025-12-31;1;148880;VOKE S.A.;Não-liderança;5;307;87;223;0;0;0
04.368.898/0001-06;2025-12-31;2;150549;COPEL DISTRIBUIÇÃO S.A.;Liderança;1;203;8;13;0;0;0
04.368.898/0001-06;2025-12-31;2;150549;COPEL DISTRIBUIÇÃO S.A.;Não-liderança;109;2417;96;335;4;0;13
04.370.282/0001-70;2025-12-31;4;151907;COPEL GERAÇÃO E TRANSMISSÃO S.A.;Liderança;5;96;2;5;0;0;1
04.370.282/0001-70;2025-12-31;4;151907;COPEL GERAÇÃO E TRANSMISSÃO S.A.;Não-liderança;34;809;34;100;5;0;0
04.423.567/0001-21;2025-12-31;4;151979;ENEVA S.A;Liderança;3;210;9;125;0;0;21
04.423.567/0001-21;2025-12-31;4;151979;ENEVA S.A;Não-liderança;31;627;113;664;5;0;38
04.601.397/0001-28;2025-12-31;3;150699;BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.;Liderança;2;171;9;713;1;0;8
04.601.397/0001-28;2025-12-31;3;150699;BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.;Não-liderança;32;1963;228;5315;3;0;87
04.752.991/0001-10;2025-12-31;4;151827;BIOMM S.A.;Liderança;1;25;2;12;0;0;0
04.752.991/0001-10;2025-12-31;4;151827;BIOMM S.A.;Não-liderança;5;77;28;64;2;0;1
04.821.041/0001-08;2025-12-31;6;152158;METALFRIO SOLUTIONS S.A.;Liderança;0;55;3;12;0;0;0
04.821.041/0001-08;2025-12-31;6;152158;METALFRIO SOLUTIONS S.A.;Não-liderança;12;390;107;592;1;0;0
04.895.728/0001-80;2025-12-31;4;152251;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Liderança;3;49;20;77;0;0;0
04.895.728/0001-80;2025-12-31;4;152251;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Não-liderança;28;284;82;825;0;0;0
04.902.979/0001-44;2025-12-31;3;151990;BCO AMAZONIA S.A.;Liderança;7;271;29;342;0;0;0
04.902.979/0001-44;2025-12-31;3;151990;BCO AMAZONIA S.A.;Não-liderança;30;977;144;1068;1;0;0
04.912.242/0001-02;2025-12-31;2;152262;PORTUENSE FERRAGENS S/A;Liderança;0;2;1;0;0;0;0
04.912.242/0001-02;2025-12-31;2;152262;PORTUENSE FERRAGENS S/A;Não-liderança;0;6;2;0;0;0;0
04.913.711/0001-08;2025-12-31;11;151836;BCO ESTADO DO PARA S.A.;Liderança;9;257;62;585;2;2;0
04.913.711/0001-08;2025-12-31;11;151836;BCO ESTADO DO PARA S.A.;Não-liderança;31;510;122;1021;6;3;0
